id,height,location_name,mountain_range
230,1400,Dom Śląski ,3
231,835,Dom Turysty PTTK ,0
232,455,Domanów ,3
233,468,Dominiczna Góra ,1
234,432,Draboż ,1
235,720,Droga Morawska ,3
236,410,Drogosław ,3
237,681,Drogosz ,3
238,1500,Drygant ,0
239,390,Drymak / pole namiotowe ,2
240,904,Dubne ,1
241,1010,Dudova ,1
242,340,Dukla ,2
243,934,Durbaszka ,1
244,979,Durna ,2
245,728,Dursztyn ,1
246,480,Duszatyn ,2
247,536,Duszniki-Zdrój  ,3
248,789,Duszniki-Zdrój TPG ,3
249,710,Dwa Borowiki ,3
250,520,Dwernik ,2
251,1608,Dwoiśniak ,0
252,455,Dział ,1
253,600,Dział ,2
254,601,Dział ,1
255,580,Działek ,1
256,846,Dzianisz ,0
257,792,Dzielec ,2
258,1113,Dziurkowiec ,2
259,983,Dzwonkówka ,1
260,1022,Eliaszówka ,0
261,1023,Eliaszówka ,1
262,743,Fajkówka ,1
263,957,Fałowa ,2
264,639,Falsztyn ,1
265,560,Ferdel ,2
266,602,Flasza ,2
267,400,Florynka ,2
268,380,Folusz ,2
269,1317,Folvarská poľana / Folwarska Polana ,0
270,379,Frycowa ,1
271,1690,Gáborov zadok / Dolina Zadnia Gaborowa ,0
272,758,Gachowizna ,1
273,440,Gajów ,3
274,982,Galicowa Grapa  ,0
275,822,Garb Średni ,2
276,797,Garbatka ,3
277,380,Giebułtów ,3
278,302,Gierałcice ,3
279,440,Gierczyn ,3
280,1909,Giewont  ,0
281,290,Gilów ,3
282,1994,Gładka Przełęcz ,0
283,650,Głaziska Janowickie ,3
284,400,Głębock ,3
285,955,Głęboka Jama ,3
286,653,Gliniczek ,3
287,620,Glinka ,1
288,550,Glinno ,3
289,293,Glucholazy ,3
290,300,Głuchołazy Parkowa ,3
291,470,Głuszyca ,3
292,490,Głuszyca Górna ,3
293,0,Gniewoszów ,3
294,358,Goleszów ,1
295,460,Golińsk ,3
296,715,Gołuszkowa Góra ,1
297,701,Gomola ,3
298,723,Gontowa ,3
299,653,Góra Ludwiki  ,1
300,420,Góra Parkowa ,3
301,647,Góra Św. Anny ,3
302,359,Góra Św. Marcina ,2
303,614,Góra Wszystkich Świętych ,3
304,1228,Gorc ,1
305,1235,Gorc Troszacki  ,1
306,515,Gorce ,3
307,330,Górki Wielkie ,1
308,290,Gorlice ,2
309,720,Górna Wetlinka ,2
310,380,Góry ,1
311,580,Góry Lisie ,3
312,640,Goryle Wyżne ,1
313,360,Gorzeń Górny ,1
314,480,Gorzeszów ,3
315,520,Gorzeszowskie Skałki ,3
316,525,Gostków ,3
317,340,Grabary ,3
318,330,Grabiszyce Średnie ,3
319,936,Grabowa ,1
320,760,Granicznik ,3
321,270,Grobla ,3
322,432,Grochowiec ,3
323,506,Grodna ,3
324,803,Grodziec / Grodczyn ,3
325,250,Grodziec Kościół ,3
326,705,Grodziec Skrzyżowanie ,3
327,618,Grodzisko ,1
328,420,Grodziszcze ,3
329,612,Grojec  ,1
330,240,Gromnik ,1
331,393,Gromnik ,3
332,801,Groń ,1
333,825,Groníček sedlo / Przełęcz Groniczek ,1
334,930,Gronik ,0
335,210,Gross-Rosen ,3
336,470,Gruszczyn ,1
337,562,Gruszka ,2
338,330,Grybów ,2
339,320,Gryfów Śląski ,3
340,548,Grywałd ,1
341,611,grzbiet Chyrowej ,2
342,514,Grzedy ,3
343,1653,Grześ ,0
344,360,Grzybowiec ,3
345,527,Grzywacka Góra ,2
346,1123,Gubałówka ,0
347,1115,Hala Czarnego ,1
348,840,Hala Izerska ,3
349,1100,Hala Kamińskiego  ,1
350,1044,Hala Pisana ,1
351,1218,Hala pod Śnieżnikiem Schronisko PTTK ,3
352,1070,Hala Redykalna  ,1
353,1040,Hala Szczawina ,1
354,1190,Hala Szrenicka schronisko  ,3
355,1333,Halicz ,2
356,470,Hańczowa ,2
357,530,Hańczowa - skrzyżowanie szlaków ,2
358,760,Harenda ,0
359,200,Henryków ,3
360,495,Hluchová / Głuchowa ,1
361,585,Hluchová Kolibiska / Głuchowa Kobyliska ,1
362,1682,Holý vrch / Goły Wierch ,0
363,640,Hon ,2
364,820,Hon ,2
365,1198,Hotel PTTK Kalatówki ,0
366,370,Hrádek / Gródek ,1
367,1275,Hrebienok / Smokowieckie Siodełko ,0
368,828,Hrobacza Łąka ,1
369,583,Hucisko ,1
370,846,Hulskie / Pod Hulskim ,2
371,1130,Hutniczy Grzbiet ,3
372,800,Huty ,0
373,864,Huzary ,1
374,677,Hyrby ,1
375,1103,Hyrlata ,2
376,776,Igliczna - Sanktuarium Maria Sniezna ,3
377,368,Inwałd ,1
378,550,Istebna ,1
379,690,Istebna Skałka ,1
380,1459,Iwaniacka Przełęcz ,0
381,380,Iwonicz Zdrój ,2
382,549,Izby ,2
383,615,Jabłonka ,1
384,550,Jabłonki ,2
385,400,Jablunkov - rozcestí / Jabłonków - rozdroże ,1
386,390,Jablunkov / Jabłonków ,1
387,490,Jagniątków Północny ,3
388,520,Jagniątków Południowy ,3
389,479,Jagódki ,1
390,977,Jagodna ,3
391,2230,Jahňací štít / Jagnięcy Szczyt ,0
392,561,Jakubowice ,3
393,360,Jakuszowa ,3
394,580,Jałowa Kiczera ,2
